"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6240","Login_ShouldWorkSuccessfully","E2EShoppingAutomation","2026-04-17","passed","2026-04-17","LoginTests","E2EShoppingAutomation.Tests","LoginTests","Login_ShouldWorkSuccessfully"
"","5605","Login_ShouldWorkSuccessfully2","E2EShoppingAutomation","2026-04-17","passed","2026-04-17","LoginTests","E2EShoppingAutomation.Tests","LoginTests","Login_ShouldWorkSuccessfully2"
